epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,115.921,0.76785,1.83636,3.29797,1.1904,0,0.47164,0.28659,0.2178,0.17135,0.4727,0.28636,0.21663,0.17008,0.80393,1.74845,2.29957,1.27776,0,0.000165354,0.000165354,0.000165354
2,225.789,0.76167,1.50598,2.16898,1.17528,0,0.39393,0.42345,0.37855,0.27363,0.3901,0.42365,0.37454,0.27993,0.86822,1.78571,2.0566,1.35845,0,0.000331697,0.000331697,0.000331697
3,334.338,0.7801,1.55499,1.92201,1.18122,0,0.45141,0.43921,0.39413,0.28568,0.44649,0.43117,0.38655,0.2825,0.87844,1.9467,1.98098,1.33196,0,0.000496741,0.000496741,0.000496741
4,442.837,0.7905,1.54819,1.75558,1.18405,0,0.53719,0.5355,0.49429,0.35323,0.55273,0.52241,0.48769,0.35955,0.84348,1.85698,1.78729,1.29285,0,0.000495616,0.000495616,0.000495616
5,552.925,0.76783,1.51582,1.63604,1.16873,0,0.52941,0.47852,0.46216,0.33831,0.5197,0.47484,0.45833,0.33126,0.88968,1.97153,1.83583,1.37339,0,0.000492224,0.000492224,0.000492224
6,664.432,0.74141,1.45892,1.5215,1.14651,0,0.48482,0.4559,0.4724,0.3636,0.46444,0.47569,0.47061,0.35168,0.82347,1.96823,1.68172,1.27307,0,0.000487886,0.000487886,0.000487886
7,773.951,0.7405,1.43622,1.44383,1.1502,0,0.61276,0.56458,0.60814,0.48524,0.61625,0.56161,0.60599,0.47284,0.78238,1.73584,1.46761,1.2394,0,0.00048262,0.00048262,0.00048262
8,882.005,0.7312,1.43544,1.39208,1.14533,0,0.58209,0.58953,0.61756,0.49106,0.57581,0.58416,0.60885,0.48485,0.77543,1.68309,1.50111,1.23315,0,0.000476445,0.000476445,0.000476445
9,990.996,0.71709,1.39165,1.30904,1.13786,0,0.62157,0.57028,0.6234,0.48721,0.62545,0.56931,0.61794,0.48978,0.81707,1.67334,1.43842,1.25855,0,0.000469386,0.000469386,0.000469386
10,1100.45,0.70603,1.38578,1.27235,1.12687,0,0.61684,0.65761,0.70087,0.55354,0.6206,0.65481,0.69599,0.54972,0.73637,1.54565,1.29736,1.20385,0,0.000461471,0.000461471,0.000461471
